model,forecast_date,target_date,h,mean,actual,lower_50,upper_50,lower_80,upper_80,lower_90,upper_90,lower_95,upper_95
CDC CovidHub Ensemble,2020-09-12,2020-09-19,1,4970.0,5394,4517.0,5338.0,3940.0,5854.0,3871.0,6274.0,3676.0,6600.0
CDC CovidHub Ensemble,2020-09-12,2020-09-26,2,4716.0,5314,4111.0,5222.0,3606.0,5777.0,3401.0,6240.0,3335.0,6584.0
CDC CovidHub Ensemble,2020-09-12,2020-10-03,3,4696.0,4891,4003.0,5413.0,3470.0,5959.0,3147.0,6341.0,3023.0,6919.0
CDC CovidHub Ensemble,2020-09-12,2020-10-10,4,4550.0,5020,4019.0,5389.0,3393.0,5996.0,3316.0,6552.0,2986.0,7087.0
CDC CovidHub Ensemble,2020-09-19,2020-09-26,1,4961.0,5314,4353.0,5418.0,4038.0,5820.0,3881.0,6149.0,3715.0,6437.0
CDC CovidHub Ensemble,2020-09-19,2020-10-03,2,4944.0,4891,4453.0,5695.0,3953.0,6345.0,3824.0,6549.0,3685.0,6647.0
CDC CovidHub Ensemble,2020-09-19,2020-10-10,3,4972.0,5020,4192.0,5898.0,3926.0,6360.0,3733.0,6762.0,3536.0,7056.0
CDC CovidHub Ensemble,2020-09-19,2020-10-17,4,4980.0,5127,3927.0,5956.0,3644.0,6512.0,3465.0,6697.0,3352.0,7439.0
CDC CovidHub Ensemble,2020-09-26,2020-10-03,1,5128.0,4891,4623.0,5453.0,4179.0,5838.0,3977.0,6069.0,3736.0,6178.0
CDC CovidHub Ensemble,2020-09-26,2020-10-10,2,5058.0,5020,4389.0,5642.0,3982.0,6295.0,3715.0,6728.0,3497.0,6887.0
CDC CovidHub Ensemble,2020-09-26,2020-10-17,3,5010.0,5127,4195.0,5798.0,3706.0,6683.0,3376.0,7259.0,3150.0,7694.0
CDC CovidHub Ensemble,2020-09-26,2020-10-24,4,5007.0,5883,4049.0,6456.0,3509.0,7058.0,3152.0,8065.0,2726.0,8563.0
CDC CovidHub Ensemble,2020-10-03,2020-10-10,1,4817.0,5020,4421.0,5462.0,4036.0,5890.0,3909.0,5972.0,3790.0,6074.0
CDC CovidHub Ensemble,2020-10-03,2020-10-17,2,4769.0,5127,4241.0,5500.0,3909.0,6074.0,3702.0,6140.0,3409.0,6436.0
CDC CovidHub Ensemble,2020-10-03,2020-10-24,3,4824.0,5883,4176.0,5416.0,3793.0,6001.0,3492.0,6257.0,3262.0,6451.0
CDC CovidHub Ensemble,2020-10-03,2020-10-31,4,4815.0,6076,3919.0,5605.0,3546.0,6454.0,3123.0,6587.0,2841.0,6837.0
CDC CovidHub Ensemble,2020-10-10,2020-10-17,1,5089.0,5127,4641.0,5536.0,4124.0,5902.0,3937.0,5940.0,3814.0,6173.0
CDC CovidHub Ensemble,2020-10-10,2020-10-24,2,5251.0,5883,4652.0,5786.0,4160.0,6121.0,3911.0,6247.0,3715.0,6484.0
CDC CovidHub Ensemble,2020-10-10,2020-10-31,3,5327.0,6076,4558.0,6043.0,4040.0,6292.0,3659.0,6548.0,3456.0,6809.0
CDC CovidHub Ensemble,2020-10-10,2020-11-07,4,5139.0,7491,4418.0,6106.0,3926.0,6499.0,3635.0,6688.0,3432.0,7064.0
CDC CovidHub Ensemble,2020-10-17,2020-10-24,1,5011.0,5883,4663.0,5408.0,4325.0,5787.0,4070.0,6014.0,3977.0,6073.0
CDC CovidHub Ensemble,2020-10-17,2020-10-31,2,5306.0,6076,4784.0,5888.0,4527.0,6330.0,4188.0,6502.0,4006.0,6556.0
CDC CovidHub Ensemble,2020-10-17,2020-11-07,3,5499.0,7491,4702.0,5994.0,4177.0,6602.0,3856.0,7031.0,3643.0,7400.0
CDC CovidHub Ensemble,2020-10-17,2020-11-14,4,5415.0,8108,4619.0,6165.0,4083.0,6719.0,3837.0,7156.0,3532.0,7581.0
CDC CovidHub Ensemble,2020-10-24,2020-10-31,1,5727.0,6076,5284.0,6152.0,4750.0,6506.0,4500.0,6738.0,4392.0,6913.0
CDC CovidHub Ensemble,2020-10-24,2020-11-07,2,6135.0,7491,5588.0,6561.0,5211.0,7241.0,4795.0,7575.0,4446.0,7926.0
CDC CovidHub Ensemble,2020-10-24,2020-11-14,3,6185.0,8108,5528.0,6878.0,4920.0,7871.0,4560.0,8099.0,4361.0,8345.0
CDC CovidHub Ensemble,2020-10-24,2020-11-21,4,6526.0,10948,5345.0,7371.0,4611.0,8807.0,4416.0,9179.0,3948.0,9595.0
CDC CovidHub Ensemble,2020-10-31,2020-11-07,1,6210.0,7491,5525.0,6655.0,5175.0,7148.0,4953.0,7519.0,4858.0,7719.0
CDC CovidHub Ensemble,2020-10-31,2020-11-14,2,6603.0,8108,5979.0,7196.0,5398.0,7834.0,5046.0,8094.0,4912.0,8249.0
CDC CovidHub Ensemble,2020-10-31,2020-11-21,3,6819.0,10948,6019.0,7730.0,5397.0,8507.0,5173.0,8951.0,4867.0,9249.0
CDC CovidHub Ensemble,2020-10-31,2020-11-28,4,7034.0,11069,5987.0,8377.0,5161.0,9423.0,4869.0,10429.0,4551.0,11009.0
CDC CovidHub Ensemble,2020-11-07,2020-11-14,1,6930.0,8108,6473.0,7827.0,5925.0,8484.0,5614.0,8660.0,5557.0,9053.0
CDC CovidHub Ensemble,2020-11-07,2020-11-21,2,7505.0,10948,6643.0,8872.0,6380.0,9427.0,6127.0,10026.0,6002.0,10505.0
CDC CovidHub Ensemble,2020-11-07,2020-11-28,3,8018.0,11069,7413.0,9374.0,6561.0,11089.0,6192.0,11921.0,5844.0,12510.0
CDC CovidHub Ensemble,2020-11-07,2020-12-05,4,8606.0,15743,7366.0,10751.0,6699.0,12082.0,6073.0,12796.0,5485.0,13416.0
CDC CovidHub Ensemble,2020-11-14,2020-11-21,1,8669.0,10948,7653.0,9257.0,7064.0,9753.0,6817.0,10012.0,6697.0,10313.0
CDC CovidHub Ensemble,2020-11-14,2020-11-28,2,9364.0,11069,8897.0,10386.0,8129.0,11424.0,7429.0,11969.0,7289.0,12591.0
CDC CovidHub Ensemble,2020-11-14,2020-12-05,3,10365.0,15743,9208.0,11726.0,8628.0,12968.0,7887.0,13514.0,7209.0,14068.0
CDC CovidHub Ensemble,2020-11-14,2020-12-12,4,11395.0,17330,10028.0,13411.0,8352.0,14611.0,7645.0,15461.0,7292.0,16244.0
CDC CovidHub Ensemble,2020-11-21,2020-11-28,1,11100.0,11069,10145.0,12241.0,9253.0,12855.0,8872.0,13278.0,8299.0,13811.0
CDC CovidHub Ensemble,2020-11-21,2020-12-05,2,12770.0,15743,11252.0,14077.0,10178.0,15366.0,9597.0,15815.0,8942.0,16412.0
CDC CovidHub Ensemble,2020-11-21,2020-12-12,3,14257.0,17330,12518.0,16142.0,11459.0,17551.0,10514.0,18169.0,9587.0,18873.0
CDC CovidHub Ensemble,2020-11-21,2020-12-19,4,15881.0,18925,14201.0,17701.0,12668.0,19558.0,11642.0,20553.0,10553.0,21427.0
CDC CovidHub Ensemble,2020-11-28,2020-12-05,1,11498.0,15743,10734.0,12917.0,9350.0,13363.0,8801.0,13704.0,8341.0,14126.0
CDC CovidHub Ensemble,2020-11-28,2020-12-12,2,12593.0,17330,11321.0,14465.0,10431.0,15605.0,9741.0,15883.0,9059.0,16066.0
CDC CovidHub Ensemble,2020-11-28,2020-12-19,3,12969.0,18925,11321.0,14803.0,10693.0,16224.0,10166.0,17101.0,9336.0,17881.0
CDC CovidHub Ensemble,2020-11-28,2020-12-26,4,13210.0,16423,11610.0,15109.0,10293.0,17065.0,9993.0,18329.0,9562.0,19521.0
CDC CovidHub Ensemble,2020-12-05,2020-12-12,1,15083.0,17330,13713.0,16159.0,12650.0,16972.0,12177.0,17404.0,11561.0,18160.0
CDC CovidHub Ensemble,2020-12-05,2020-12-19,2,16039.0,18925,15081.0,17301.0,13905.0,18865.0,13009.0,19508.0,12510.0,20096.0
CDC CovidHub Ensemble,2020-12-05,2020-12-26,3,17006.0,16423,15807.0,18361.0,14583.0,20506.0,13739.0,21324.0,13454.0,21607.0
CDC CovidHub Ensemble,2020-12-05,2021-01-02,4,18190.0,18801,16102.0,20096.0,14358.0,21323.0,13563.0,22899.0,12620.0,23441.0
CDC CovidHub Ensemble,2020-12-12,2020-12-19,1,17340.0,18925,16108.0,18484.0,15246.0,19648.0,14429.0,20005.0,13923.0,20669.0
CDC CovidHub Ensemble,2020-12-12,2020-12-26,2,19387.0,16423,17910.0,20814.0,16322.0,21607.0,15462.0,22091.0,15131.0,22345.0
CDC CovidHub Ensemble,2020-12-12,2021-01-02,3,20427.0,18801,18448.0,22195.0,17194.0,22794.0,16497.0,23517.0,15587.0,24229.0
CDC CovidHub Ensemble,2020-12-12,2021-01-09,4,21608.0,22236,19082.0,23982.0,18190.0,25974.0,17016.0,27274.0,15757.0,27718.0
CDC CovidHub Ensemble,2020-12-19,2020-12-26,1,19507.0,16423,17859.0,20732.0,16821.0,21517.0,16059.0,22034.0,15340.0,22454.0
CDC CovidHub Ensemble,2020-12-19,2021-01-02,2,20608.0,18801,18791.0,22228.0,16950.0,23229.0,16161.0,23978.0,15803.0,24695.0
CDC CovidHub Ensemble,2020-12-19,2021-01-09,3,21318.0,22236,19527.0,23059.0,17840.0,24284.0,16700.0,25814.0,15871.0,26809.0
CDC CovidHub Ensemble,2020-12-19,2021-01-16,4,21484.0,23425,19274.0,23887.0,17804.0,25230.0,17414.0,26301.0,16391.0,27595.0
